Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Supplier;Manufacturer;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Summary;Description;Meta title;URL rewritten;Text when in stock;Text when backorder allowed;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Out of stock action;Available for order (0 = No, 1 = Yes);Tags
;1;Naprawa iPhone 5;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej lub skontaktuj się z nami aby skorzystać z darmowej ekspertyzy. Naprawa trwa 1-5 dni i objęta jest gwarancją na 180 dni. Urządzenie może odebrać kurier przy wybraniu odpowiedniej opcji, możesz nadać je w paczkomacie po wybraniu tej opcji lub wysłać w dowolny sposób na nasz adres składając uprzednio zamówienie na stronie lub telefonicznie.
";"<div class=""tab-content-scroll"">
<h2>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować)</li>
<li>Odbiór naprawionego urządzenia od kuriera lub w inny wybrany przez klienta sposób</li>
</ol>
<h2>Przebieg naprawy (przy wyborze nadania w paczkomacie)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia w paczkę o maksymalnych wymiarach: 19x38x64cm i naklejenie na nią etykiety wysłanej na e-maila</li>
<li>Nadanie paczki w paczkomomacie</li>
<li>Odbiór naprawionego urządzenia z paczkomatu lub w inny wybrany sposób.</li>
</ol>
<h2>Najczęściej zadawane pytania</h2>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Urządzenia naprawiane są w ciągu 1-5 dni.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jednak zalecamy zrobienie kopii zapasowej.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 5;naprawa-iphone-5;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/02/iphone-5.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,
;1;Naprawa iPhone 5S;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej lub skontaktuj się z nami aby skorzystać z darmowej ekspertyzy. Naprawa trwa 1-5 dni i objęta jest gwarancją na 180 dni. Urządzenie może odebrać kurier przy wybraniu odpowiedniej opcji, możesz nadać je w paczkomacie po wybraniu tej opcji lub wysłać w dowolny sposób na nasz adres składając uprzednio zamówienie na stronie lub telefonicznie.
";"<div class=""tab-content-scroll"">
<h2>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować)</li>
<li>Odbiór naprawionego urządzenia od kuriera lub w inny wybrany przez klienta sposób</li>
</ol>
<h2>Przebieg naprawy (przy wyborze nadania w paczkomacie)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia w paczkę o maksymalnych wymiarach: 19x38x64cm i naklejenie na nią etykiety wysłanej na e-maila</li>
<li>Nadanie paczki w paczkomomacie</li>
<li>Odbiór naprawionego urządzenia z paczkomatu lub w inny wybrany sposób.</li>
</ol>
<h2>Najczęściej zadawane pytania</h2>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Urządzenia naprawiane są w ciągu 1-5 dni.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jednak zalecamy zrobienie kopii zapasowej.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 5S;naprawa-iphone-5s;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/02/iphone-5s.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,5
;1;Naprawa iPhone 6;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej. Przy wymianie wyświetlacza lub szybki prosimy o podanie wersji kolorystycznej telefonu w dodatkowych informacjach. Możesz skorzystać z usługi door to door zaznaczając odbiór urządzenia przez kuriera poniżej lub wysłać w dowolny sposób na nasz adres: Telefonek, Porządzie 120, 07-205 Rząśnik.
";"<div class=""tab-content-scroll"">
<h1>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h1>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie przesyłki maksymalnie o wymiarach 25cm x 25cm x 10cm.</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować).</li>
<li>Odbiór naprawionego urządzenia zwykle po 3 dniach od kuriera lub w inny wybrany przez klienta sposób.</li>
</ol>
<h1>Najczęściej zadawane pytania</h1>
<ul>
<li>Szybka lub ekran w moim telefonie był wcześniej wymieniany, czy mogę dalej skorzystać z usługi wymiany szybki dotyku?</li>
</ul>
<p>Tak, jednak czasami w tym wypadku może pojawić się konieczność wymiany całego wyświetlacza co wiąże się z dopłatą 50zł.</p>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Zazwyczaj dostarczane do nas urządzenia są naprawiane następnego dnia. O przebiegu naprawy będą Państwo na bieżąco informowani mailowo.</p>
<ul>
<li>Co jeżeli nie mogę przekazać telefonu kurierowi?</li>
</ul>
<p>W takiej sytuacji możesz wysłać urządzenie w dowolny sposób na nasz adres. Urządzenie możemy również odesłać do paczkomatu, kiosku ruchu, punktu odbioru lub w inny wybrany sposób.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza, możesz ją znaleźć na innych naszych aukcjach.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jedynie naprawa systemu lub płyty głównej resetuję dane telefonu.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 6;naprawa-iphone-6;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/02/iphone-6.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,
;1;Naprawa iPhone 6 Plus;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej lub skontaktuj się z nami aby skorzystać z darmowej ekspertyzy. Naprawa trwa 1-5 dni i objęta jest gwarancją na 180 dni. Urządzenie może odebrać kurier przy wybraniu odpowiedniej opcji, możesz nadać je w paczkomacie po wybraniu tej opcji lub wysłać w dowolny sposób na nasz adres składając uprzednio zamówienie na stronie lub telefonicznie.
";"<div class=""tab-content-scroll"">
<h2>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować)</li>
<li>Odbiór naprawionego urządzenia od kuriera lub w inny wybrany przez klienta sposób</li>
</ol>
<h2>Przebieg naprawy (przy wyborze nadania w paczkomacie)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia w paczkę o maksymalnych wymiarach: 19x38x64cm i naklejenie na nią etykiety wysłanej na e-maila</li>
<li>Nadanie paczki w paczkomomacie</li>
<li>Odbiór naprawionego urządzenia z paczkomatu lub w inny wybrany sposób.</li>
</ol>
<h2>Najczęściej zadawane pytania</h2>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Urządzenia naprawiane są w ciągu 1-5 dni.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jednak zalecamy zrobienie kopii zapasowej.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 6 Plus;naprawa-iphone-6-plus;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/02/iphone-6-plus.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,6,plu
;1;Naprawa iPhone 6S;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej lub skontaktuj się z nami aby skorzystać z darmowej ekspertyzy. Naprawa trwa 1-5 dni i objęta jest gwarancją na 180 dni. Urządzenie może odebrać kurier przy wybraniu odpowiedniej opcji, możesz nadać je w paczkomacie po wybraniu tej opcji lub wysłać w dowolny sposób na nasz adres składając uprzednio zamówienie na stronie lub telefonicznie.
";"<div class=""tab-content-scroll"">
<h2>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować)</li>
<li>Odbiór naprawionego urządzenia od kuriera lub w inny wybrany przez klienta sposób</li>
</ol>
<h2>Przebieg naprawy (przy wyborze nadania w paczkomacie)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia w paczkę o maksymalnych wymiarach: 19x38x64cm i naklejenie na nią etykiety wysłanej na e-maila</li>
<li>Nadanie paczki w paczkomomacie</li>
<li>Odbiór naprawionego urządzenia z paczkomatu lub w inny wybrany sposób.</li>
</ol>
<h2>Najczęściej zadawane pytania</h2>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Urządzenia naprawiane są w ciągu 1-5 dni.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jednak zalecamy zrobienie kopii zapasowej.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 6S;naprawa-iphone-6s;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/02/iphone-6s.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,6
;1;Naprawa iPhone 6S Plus;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej lub skontaktuj się z nami aby skorzystać z darmowej ekspertyzy. Naprawa trwa 1-5 dni i objęta jest gwarancją na 180 dni. Urządzenie może odebrać kurier przy wybraniu odpowiedniej opcji, możesz nadać je w paczkomacie po wybraniu tej opcji lub wysłać w dowolny sposób na nasz adres składając uprzednio zamówienie na stronie lub telefonicznie.
";"<div class=""tab-content-scroll"">
<h2>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować)</li>
<li>Odbiór naprawionego urządzenia od kuriera lub w inny wybrany przez klienta sposób</li>
</ol>
<h2>Przebieg naprawy (przy wyborze nadania w paczkomacie)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia w paczkę o maksymalnych wymiarach: 19x38x64cm i naklejenie na nią etykiety wysłanej na e-maila</li>
<li>Nadanie paczki w paczkomomacie</li>
<li>Odbiór naprawionego urządzenia z paczkomatu lub w inny wybrany sposób.</li>
</ol>
<h2>Najczęściej zadawane pytania</h2>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Urządzenia naprawiane są w ciągu 1-5 dni.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jednak zalecamy zrobienie kopii zapasowej.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 6S Plus;naprawa-iphone-6s-plus;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/02/iphone-6s-plus.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,6s,plu
;1;Naprawa iPhone 7;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej lub skontaktuj się z nami aby skorzystać z darmowej ekspertyzy. Naprawa trwa 1-5 dni i objęta jest gwarancją na 180 dni. Urządzenie może odebrać kurier przy wybraniu odpowiedniej opcji, możesz nadać je w paczkomacie po wybraniu tej opcji lub wysłać w dowolny sposób na nasz adres składając uprzednio zamówienie na stronie lub telefonicznie.
";"<div class=""tab-content-scroll"">
<h2>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować)</li>
<li>Odbiór naprawionego urządzenia od kuriera lub w inny wybrany przez klienta sposób</li>
</ol>
<h2>Przebieg naprawy (przy wyborze nadania w paczkomacie)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia w paczkę o maksymalnych wymiarach: 19x38x64cm i naklejenie na nią etykiety wysłanej na e-maila</li>
<li>Nadanie paczki w paczkomomacie</li>
<li>Odbiór naprawionego urządzenia z paczkomatu lub w inny wybrany sposób.</li>
</ol>
<h2>Najczęściej zadawane pytania</h2>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Urządzenia naprawiane są w ciągu 1-5 dni.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jednak zalecamy zrobienie kopii zapasowej.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 7;naprawa-iphone-7;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/10/iphone-7.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,
;1;Naprawa iPhone 7 Plus;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej lub skontaktuj się z nami aby skorzystać z darmowej ekspertyzy. Naprawa trwa 1-5 dni i objęta jest gwarancją na 180 dni. Urządzenie może odebrać kurier przy wybraniu odpowiedniej opcji, możesz nadać je w paczkomacie po wybraniu tej opcji lub wysłać w dowolny sposób na nasz adres składając uprzednio zamówienie na stronie lub telefonicznie.
";"<div class=""tab-content-scroll"">
<h2>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować)</li>
<li>Odbiór naprawionego urządzenia od kuriera lub w inny wybrany przez klienta sposób</li>
</ol>
<h2>Przebieg naprawy (przy wyborze nadania w paczkomacie)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia w paczkę o maksymalnych wymiarach: 19x38x64cm i naklejenie na nią etykiety wysłanej na e-maila</li>
<li>Nadanie paczki w paczkomomacie</li>
<li>Odbiór naprawionego urządzenia z paczkomatu lub w inny wybrany sposób.</li>
</ol>
<h2>Najczęściej zadawane pytania</h2>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Urządzenia naprawiane są w ciągu 1-5 dni.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jednak zalecamy zrobienie kopii zapasowej.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 7 Plus;naprawa-iphone-7-plus;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/10/iphone-7plus.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,7,plu
;1;Naprawa iPhone 8;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej lub skontaktuj się z nami aby skorzystać z darmowej ekspertyzy. Naprawa trwa 1-5 dni i objęta jest gwarancją na 180 dni. Urządzenie może odebrać kurier przy wybraniu odpowiedniej opcji, możesz nadać je w paczkomacie po wybraniu tej opcji lub wysłać w dowolny sposób na nasz adres składając uprzednio zamówienie na stronie lub telefonicznie.
";"<div class=""tab-content-scroll"">
<h2>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować)</li>
<li>Odbiór naprawionego urządzenia od kuriera lub w inny wybrany przez klienta sposób</li>
</ol>
<h2>Przebieg naprawy (przy wyborze nadania w paczkomacie)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia w paczkę o maksymalnych wymiarach: 19x38x64cm i naklejenie na nią etykiety wysłanej na e-maila</li>
<li>Nadanie paczki w paczkomomacie</li>
<li>Odbiór naprawionego urządzenia z paczkomatu lub w inny wybrany sposób.</li>
</ol>
<h2>Najczęściej zadawane pytania</h2>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Urządzenia naprawiane są w ciągu 1-5 dni.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jednak zalecamy zrobienie kopii zapasowej.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 8;naprawa-iphone-8;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/10/iphone-8.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,
;1;Naprawa iPhone 8 Plus;Serwis GSM/Apple;70.00;1;70.00;0;;;;;uBrokeIt;uBrokeIt;100;1;10;0;both;"
Wybierz rodzaj usterki z rozwijanej listy poniżej lub skontaktuj się z nami aby skorzystać z darmowej ekspertyzy. Naprawa trwa 1-5 dni i objęta jest gwarancją na 180 dni. Urządzenie może odebrać kurier przy wybraniu odpowiedniej opcji, możesz nadać je w paczkomacie po wybraniu tej opcji lub wysłać w dowolny sposób na nasz adres składając uprzednio zamówienie na stronie lub telefonicznie.
";"<div class=""tab-content-scroll"">
<h2>Przebieg naprawy (przy wyborze odbioru przez kuriera)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia</li>
<li>Przekazanie przesyłki kurierowi  (kurier przyjedzie wraz z dokumentem przewozowym więc nie musisz nic drukować)</li>
<li>Odbiór naprawionego urządzenia od kuriera lub w inny wybrany przez klienta sposób</li>
</ol>
<h2>Przebieg naprawy (przy wyborze nadania w paczkomacie)</h2>
<ol>
<li>Zakup usługi naprawy telefonu</li>
<li>Bezpieczne spakowanie urządzenia w paczkę o maksymalnych wymiarach: 19x38x64cm i naklejenie na nią etykiety wysłanej na e-maila</li>
<li>Nadanie paczki w paczkomomacie</li>
<li>Odbiór naprawionego urządzenia z paczkomatu lub w inny wybrany sposób.</li>
</ol>
<h2>Najczęściej zadawane pytania</h2>
<ul>
<li>Ile potrwa naprawa mojego telefonu?</li>
</ul>
<p>Urządzenia naprawiane są w ciągu 1-5 dni.</p>
<ul>
<li>Ekran mojego telefonu nie wyświetla obrazu poprawnie czy wymiana samej szybki naprawi problem?</li>
</ul>
<p>W takim wypadku konieczna będzie wymiana całego wyświetlacza.</p>
<ul>
<li>Czy otrzymam dowód zakupu ?</li>
</ul>
<p>Jesteśmy legalnie działająca firmą więc do każdej usługi wystawiamy paragon lub fakturę vat marża.</p>
<ul>
<li>Czy stracę dane z telefonu?</li>
</ul>
<p>W przypadku większości napraw dane nie zostaną naruszone. Jednak zalecamy zrobienie kopii zapasowej.</p>
<ul>
<li>W jakiej technologii naprawiane są ekrany?</li>
</ul>
<p>Ekrany naprawiane w technologi którą stosuję producent czyli OCA.</p>
<ul>
<li>Czy otrzymam gwarancję na naprawę ?</li>
</ul>
<p>Tak, na każdą naprawę udzielamy 6 miesięcy gwarancji.</p>
</div>";Naprawa iPhone 8 Plus;naprawa-iphone-8-plus;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://telefonek.pl/wp-content/uploads/2018/10/iphone-8-plus.png;1;new;0;Chwilowo niedostępny;1;etui,ochrona,pokrowiec,uBrokeIt,naprawa,iphone,8,plu
