Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Wholesale price;Impact on price;Quantity;Minimal quantity;Low stock level
1091;Rodzaj naprawy:select:0;Naprawa aparatu tylnego (80zł):0;100;16.26;10;1;0
1091;Rodzaj naprawy:select:0;Naprawa głośnika (80zł):0;100;16.26;10;1;0
1091;Rodzaj naprawy:select:0;Naprawa głośnika rozmów (70zł):0;100;8.13;10;1;0
1091;Rodzaj naprawy:select:0;Naprawa mikrofonu (100zł):0;100;32.52;10;1;0
1091;Rodzaj naprawy:select:0;Naprawa systemu (100zł):0;100;32.52;10;1;0
1091;Rodzaj naprawy:select:0;Naprawa wejścia słuchawkowego (70zł):0;100;8.13;10;1;0
1091;Rodzaj naprawy:select:0;Naprawa wejścia USB (100zł):0;100;32.52;10;1;0
1091;Rodzaj naprawy:select:0;Wymiana baterii (80zł):0;100;16.26;10;1;0
1091;Rodzaj naprawy:select:0;Wymiana klapki (60zł):0;100;0.00;10;1;0
1091;Rodzaj naprawy:select:0;Wymiana szybki dotyku (140zł):0;100;65.04;10;1;0
1091;Rodzaj naprawy:select:0;Wymiana wyświetlacza (300zł):0;100;195.12;10;1;0
1092;Rodzaj naprawy:select:0;Wymiana pękniętej szybki (200zł):0;100;0.00;10;1;0
1092;Rodzaj naprawy:select:0;Wymiana wyświetlacza (250zł):0;100;40.65;10;1;0
1093;Rodzaj naprawy:select:0;Wymiana szybki aparatu głównego (90zł):0;100;0.00;10;1;0
1093;Rodzaj naprawy:select:0;Wymiana pękniętej szybki (300zł):0;100;170.73;10;1;0
1093;Rodzaj naprawy:select:0;Wymiana wyświetlacza (480zł):0;100;317.07;10;1;0
1094;Rodzaj naprawy:select:0;Wymiana szybki aparatu głównego (90zł):0;100;0.00;10;1;0
1094;Rodzaj naprawy:select:0;Wymiana baterii (150zł):0;100;48.78;10;1;0
1094;Rodzaj naprawy:select:0;Wymiana klapki (200zł):0;100;89.43;10;1;0
1094;Rodzaj naprawy:select:0;Wymiana mikrofonu (150zł):0;100;48.78;10;1;0
1094;Rodzaj naprawy:select:0;Wymiana pękniętej szybki (240zł):0;100;121.95;10;1;0
1094;Rodzaj naprawy:select:0;Wymiana wyświetlacza (350zł):0;100;211.38;10;1;0
1095;Rodzaj naprawy:select:0;Naprawa aparatu tylnego (80zł):0;100;16.26;10;1;0
1095;Rodzaj naprawy:select:0;Naprawa głośnika (80zł):0;100;16.26;10;1;0
1095;Rodzaj naprawy:select:0;Naprawa głośnika rozmów (70zł):0;100;8.13;10;1;0
1095;Rodzaj naprawy:select:0;Naprawa mikrofonu (100zł):0;100;32.52;10;1;0
1095;Rodzaj naprawy:select:0;Naprawa wejścia słuchawkowego (70zł):0;100;8.13;10;1;0
1095;Rodzaj naprawy:select:0;Naprawa wejścia USB (100zł):0;100;32.52;10;1;0
1095;Rodzaj naprawy:select:0;Wymiana baterii (80zł):0;100;16.26;10;1;0
1095;Rodzaj naprawy:select:0;Wymiana klapki (60zł):0;100;0.00;10;1;0
1095;Rodzaj naprawy:select:0;Wymiana pękniętej szybki (140zł):0;100;65.04;10;1;0
1095;Rodzaj naprawy:select:0;Wymiana wyświetlacza (300zł):0;100;195.12;10;1;0
1095;Rodzaj naprawy:select:0;Wymiana wyświetlacza na zamiennik (200zł):0;100;113.82;10;1;0
