Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Wholesale price;Impact on price;Quantity;Minimal quantity;Low stock level
1122;Rodzaj naprawy:select:0;Wymiana baterii (110zł):0;100;16.26;10;1;0
1122;Rodzaj naprawy:select:0;Wymiana klapki (120zł):0;100;24.39;10;1;0
1122;Rodzaj naprawy:select:0;Wymiana mikrofonu (100zł):0;100;8.13;10;1;0
1122;Rodzaj naprawy:select:0;Wymiana pękniętej szybki (180zł):0;100;73.17;10;1;0
1122;Rodzaj naprawy:select:0;Wymiana szybki aparatu (100zł):0;100;8.13;10;1;0
1122;Rodzaj naprawy:select:0;Wymiana wejścia USB (100zł):0;100;8.13;10;1;0
1122;Rodzaj naprawy:select:0;Wymiana wyświetlacza (220zł):0;100;105.69;10;1;0
1123;Rodzaj naprawy:select:0;Wymiana klapki (160zł):0;100;73.17;10;1;0
1123;Rodzaj naprawy:select:0;Wymiana mikrofonu (100zł):0;100;24.39;10;1;0
1123;Rodzaj naprawy:select:0;Wymiana szybki dotyku (170zł):0;100;81.30;10;1;0
1123;Rodzaj naprawy:select:0;Wymiana wejścia USB (100zł):0;100;24.39;10;1;0
1123;Rodzaj naprawy:select:0;Wymiana wyświetlacza (210zł):0;100;113.82;10;1;0
1124;Rodzaj naprawy:select:0;Naprawa aparatu przedniego (70zł):0;100;0.00;10;1;0
1124;Rodzaj naprawy:select:0;Naprawa aparatu tylnego (80zł):0;100;8.13;10;1;0
1124;Rodzaj naprawy:select:0;Naprawa głośnika (80zł):0;100;8.13;10;1;0
1124;Rodzaj naprawy:select:0;Naprawa głośnika rozmów (70zł):0;100;0.00;10;1;0
1124;Rodzaj naprawy:select:0;Naprawa mikrofonu (100zł):0;100;24.39;10;1;0
1124;Rodzaj naprawy:select:0;Naprawa wejścia USB (100zł):0;100;24.39;10;1;0
1124;Rodzaj naprawy:select:0;Wymiana baterii (80zł):0;100;8.13;10;1;0
1124;Rodzaj naprawy:select:0;Wymiana czytnika lini papilarnych (80zł):0;100;8.13;10;1;0
1124;Rodzaj naprawy:select:0;Wymiana klapki (120zł):0;100;40.65;10;1;0
1124;Rodzaj naprawy:select:0;Wymiana szkła aparatu (70zł):0;100;0.00;10;1;0
1124;Rodzaj naprawy:select:0;Wymiana szybki dotyku (150zł):0;100;65.04;10;1;0
1124;Rodzaj naprawy:select:0;Wymiana wyświetlacza (180zł):0;100;89.43;10;1;0
1125;Rodzaj naprawy:select:0;Wymiana wyświetlacza z czytnikiem linii (280zł):0;100;138.21;10;1;0
1125;Rodzaj naprawy:select:0;Wymiana baterii (110zł):0;100;0.00;10;1;0
1125;Rodzaj naprawy:select:0;Wymiana klapki (160zł):0;100;40.65;10;1;0
1125;Rodzaj naprawy:select:0;Wymiana mikrofonu (150zł):0;100;32.52;10;1;0
1125;Rodzaj naprawy:select:0;Wymiana wejścia USB (160zł):0;100;40.65;10;1;0
