Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Supplier;Manufacturer;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Summary;Description;Meta title;URL rewritten;Text when in stock;Text when backorder allowed;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Out of stock action;Available for order (0 = No, 1 = Yes)
462216;1;Ładowarka sieciowa Xiaomi MDY-08-EO 2A z Quick Charge 1.0 i kablem microUSB ;Ładowarki;39.90;1;39.90;0;;;;;Xiaomi;Xiaomi;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<h2 style=""font-size: x-large;"">Ładowarka Xiaomi z kablem</h2><p style=""text-align: justify;"">Xiaomi MDY-08-EO to ładowarka sieciowa w formie adaptera, do którego otrzymujemy dołączony kabel micro USB. Akcesorium ma uniwersalny i estetyczny biały kolor. Obudowę wykonano z wysokiej jakości materiałów o dużej trwałości. Gładka, lakierowana powierzchnia gwarantuje przyjemne użytkowanie. Dodatkowo ładowarka wspiera technologię szybkiego ładowania Quick Charge 1.0 pozwalającą na jeszcze szybsze odnawianie energii w smartfonie. Pozwala to na bezpieczne dla urządzenia napięcie wyjściowe prądu 5V oraz natężenie 2A. Choć do akcesorium dołączono kabel micro USB, jej port jest kompatybilny także z innymi przewodami o tym samym złączu. Możemy więc używać do adaptera także przewodu USB typu C lub kabla Lightning. Lekka i niewielkich rozmiarów ładowarka doskonale nadaje się do zabrania ze sobą w podróż. Należy jednak mieć na uwadze, że posiada ona standard europejski. Jeśli zatem wybieramy się do kraju, w którym stosowane są innego typu gniazdka elektryczne, powinniśmy dodatkowo wyposażyć się w odpowiednią przejściówkę. </p> </div>";Ładowarka sieciowa Xiaomi MDY-08-EO 2A z Quick Charge 1.0 i kablem microUSB ;ładowarka-sieciowa-xiaomi-mdy-08-eo-2a-z-quick-charge-1.0-i-kablem-microusb-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/X/M/LAXM000MD8KWHT000_p01.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/X/M/LAXM000MD8KWHT000_p02.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/X/M/LAXM000MD8KWHT000_p03.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/X/M/LAXM000MD8KWHT000_p04.jpg;1;new;0;Chwilowo niedostępny;1
462217;1;Ładowarka sieciowa Xiaomi MDY-08-EO 2A z Quick Charge 1.0 ;Ładowarki;29.90;1;29.90;0;;;;;Xiaomi;Xiaomi;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<h2 style=""font-size: x-large;"">Ładowarka sieciowa Xiaomi MDY-08-EO</h2><p style=""text-align: justify;"">Xiaomi MDY-08-EO to ładowarka sieciowa zgodna ze standardem europejskim. Ma formę adaptera z pojedynczym gniazdem USB. Podłączymy do niego kompatybilny kabel USB 3.0. Wytrzymała, dodatkowo polakierowana obudowa w kolorze czarnym została wykonana z materiałów o wysokiej jakości. Dzięki temu akcesorium jest odporne na uszkodzenia i może posłużyć nam przez długi czas. Ładowarka jest również kompatybilna z technologią szybkiego ładowania Quick Charge 1.0, która zadebiutowała w 2013 roku. Gwarantuje ona napięcie akcesorium 5V i natężenie 2A. Jeśli posiadamy smartfon zgodny z takim samym standardem, możemy szybciej go naładować. Ponieważ ładowarka jest lekka i ma niewielkie wymiary, doskonale nadaje się do zabrania w podróż. Nie będzie również zajmować dużo miejsca, gdy wepniemy ją w listwę zasilającą. Uniwersalne złącze USB gwarantuje szeroką kompatybilność z wieloma przewodami zasilającymi. Adapter może więc służyć zarówno do ładowania telefonów z systemem operacyjnym Android, jak i iOS. Preferowany przewód nie stanowi wyposażenia ładowarki i wybieramy go samodzielnie. </p> </div>";Ładowarka sieciowa Xiaomi MDY-08-EO 2A z Quick Charge 1.0 ;ładowarka-sieciowa-xiaomi-mdy-08-eo-2a-z-quick-charge-1.0-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/X/M/LAXM000MDY8BLK000_p01.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/X/M/LAXM000MDY8BLK000_p02.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/X/M/LAXM000MDY8BLK000_p03.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/X/M/LAXM000MDY8BLK000_p04.jpg;1;new;0;Chwilowo niedostępny;1
306950;1;Ładowarka sieciowa Samsung EP-TA20EB 2A z odpinanym kablem USB-C - czarna ;Ładowarki;74.90;1;74.90;0;;;;;Samsung;Samsung;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<h2 style=""font-size: x-large;"">Praktyczna i niezawodna</h2><p style=""font-size: large;"">Uniwersalna ładowarka z USB-C</p><p style=""text-align: justify;"">Uniwersalna ładowarka sieciowa EP-TA20EB marki Samsung została wyprodukowana z wysokiej jakości komponentów. Akcesorium przeznaczone jest do ładowania smartfonów z linii Samsung Galaxy oraz różnych, zgodnych urządzeń mobilnych, które wyposażone są w złącze typu USB-C. Zasilacz z funkcją szybkiego ładowania i o natężeniu 2A zapewni bezpieczne ładowanie telefonów i tabletów na bardzo dobrym poziomie. Produkt ma zabezpieczenie przed skokami napięcia i przegrzaniem się komponentów, co mogłoby negatywnie wpłynąć na stan ładowarki sieciowej, czy samego smartfona. Do ładowarki dołączony jest odpinany, czarny kabel EP-DG950CBE. Przewód pokryty jest warstwą tworzywa odpornego na różne uszkodzenia mechaniczne, które mogą powstawać w wyniku wielokrotnego zwijania i rozwijania kabla. Uniwersalna ładowarka Samsung EP-TA20EB w kolorze czarnym jest dedykowana wszystkim modelom urządzeń z gniazdem USB-C koreańskiego producenta. Do zasilacza można podpinać inne rekomendowane przewody, które odpowiadają parametrom tego produktu Samsung oraz są wyposażone w złącze USB.</p><p style=""font-size: x-large;"">Gwarancja zadowolenia</p><p style=""font-size: large;"">Ciesz się wydajnym ładowaniem smartfona</p><p style=""text-align: justify;"">Ładowarka sieciowa Samsung EP-TA20EB 2A z szybkim ładowaniem dla telefonów i tabletów Galaxy oraz innych urządzeń ze złączem USB-C to wysokiej jakości produkt do zasilania. Akcesorium w kolorze czarnym ma kompaktowe wymiary, przez co nie zajmuje wiele miejsca w domu, torbie podróżnej czy plecaku.Ponadto odpinany kabel można podpiąć do komputera z wejściem USB w celu transmisji danych pomiędzy urządzeniami. Przewód ma około 120 centymetrów długości. Akcesorium pakowane jest w opakowanie typu bulk i zawiera odpinany kabel z końcówką USB.</p><p style=""text-align: justify;"">Specyfikacja:</p><ul><li>- Złącze: USB-C; </li><li>- Długość kabla: ok. 120 cm; </li><li>- Maksymalne natężenie prądu: 2A; </li><li>- Napięcie wejściowe: 230V; </li><li>- Napięcie wyjściowe: 5V; </li><li>- Kolor: czarny.</li></ul> </div>";Ładowarka sieciowa Samsung EP-TA20EB 2A z odpinanym kablem USB-C - czarna ;ładowarka-sieciowa-samsung-ep-ta20eb-2a-z-odpinanym-kablem-usb-c---czarna-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/s/a/lasa000ept2blk000_p01_.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/s/a/lasa000ept2blk000_p02_.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/s/a/lasa000ept2blk000_p03_.jpg;1;new;0;Chwilowo niedostępny;1
428275;1;Ładowarka Samsung ETA0U83EWE 1A z odpinanym kablem microUSB - biała ;Ładowarki;34.90;1;34.90;0;;;;;Samsung;Samsung;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<h2 style=""font-size: x-large;"">Oryginalna ładowarka Samsung</h2> <p style=""font-size: large;"">Praktyczne akcesorium</p> <p style=""text-align: justify;"">Ładowarka Samsung ETA0U83EWE to oryginalne akcesorium przystosowane do zasilania urządzeń mobilnych z serii Galaxy. Zasilacz o mocy 1A posiada odczepiany kabel z końcówką microUSB. Akcesorium jest kompatybilne z różnymi modelami urządzeń i posiada specjalne zabezpieczenia przed skokami napięcia czy przegrzaniem. Ładowarka sieciowa została wykonana z wysokiej jakości materiałów, a jej wymiary są niewielkie, dzięki czemu można ją bez problemu zabrać w podróż. Akcesorium może służyć jako główny zasilacz, bądź zapasowy. Model ETA0U83EWE posiada wejście USB, do którego można podpinać inne, kompatybilne kable. Produkt jest oryginalny i dostępny w kolorze białym.</p> </div>";Ładowarka Samsung ETA0U83EWE 1A z odpinanym kablem microUSB - biała ;ładowarka-samsung-eta0u83ewe-1a-z-odpinanym-kablem-microusb---biała-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00083EWWHT000_p01.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00083EWWHT000_p02.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00083EWWHT000_p03.jpg;1;new;0;Chwilowo niedostępny;1
262943;1;Ładowarka samochodowa Samsung EP-LN915U z Quick Charge 3.0 i kablem microUSB 2A - czarna ;Ładowarki;79.90;1;79.90;0;;;;;Samsung;Samsung;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<p></p><h2 style=""font-size: x-large;"">Oryginalna ładowarka samochodowa Samsung</h2>
<p style=""font-size: large;"">Praktyczna i niezawodna</p>
<p style=""text-align: justify;"">Uniwersalna ładowarka samochodowa marki Samsung służy do szybkiego ładowania różnych urządzeń mobilnych, jak smartfon czy tablet. Zasilacz EP-LN915U ma natężenie 2A oraz wsparcie funkcji Quick Charge w wersji 3.0. Dodatkowo do zestawu jest dołączony oryginalny kabel Samsung DUE4EBE 2A. Akcesorium zapewnia wydajne oraz bezpieczne ładowanie zgodnych urządzeń i jest rekomendowane do sprzętu marki Samsung. Zaprojektowany układ produktu posiada zabezpieczenia przed przegrzaniem czy skokami napięcia, które mogłyby uszkodzić podłączone urządzenie. Atesty bezpieczeństwa ładowarki potwierdzają odpowiednie certyfikaty i znaki jakości. Ponadto, ładowarka samochodowa jest skonstruowana z wysokiej jakości materiałów odpornych na typowe uszkodzenia podczas korzystania z produktu. Zasilacz wyposażony jest w jedno gniazdo USB, do którego należy podłączyć kompatybilny kabel zasilający, który jest dołączony do zestawu. Odpinany przewód o długości 150 centymetrów ma zakończenie microUSB.</p>
<p style=""font-size: x-large;"">Gwarancja zadowolenia</p>
<p style=""font-size: large;"">Wydajne ładowanie urządzeń Samsung</p>
<p style=""text-align: justify;"">Ładowarka samochodowa Samsung EP-LN915U z kablem DUE4EBE microUSB to funkcjonalne akcesorium, które będzie przydatne w każdym samochodzie. Zasilacz jest niewielkich wymiarów, więc nie zajmuje wiele miejsca w samochodzie. Ponadto długi kabel z grubą otoczką jest wytrzymały i umożliwia umieszczenie ładowanego urządzenia w wygodnym miejscu, np. w uchwycie na kokpicie auta. Wielką zaletą ładowarki jest jej prosta obsługa, a także wsparcie funkcji szybkiego ładowania. Samochodowa ładowarka Samsung dostępna jest w naszym sklepie w kolorze czarnym. Produkt jest oryginalny, co potwierdza naklejka hologramowa na opakowaniu. Akcesorium zapakowane jest w sztywny kartonik producenta. Zasilacz z kablem jest przeznaczony do użytkowania ze zgodnymi urządzeniami marki Samsung.</p>
<p style=""text-align: justify;"">Specyfikacja:</p>
<ul>
<li>1. Gniazdo zasilacza: USB;</li>
<li>2. Złącze kabla: microUSB;</li>
<li>3. Maksymalne natężenie prądu: 2,4A;</li>
<li>4. Prąd wyjściowy: 2 000 mA;</li>
<li>5. Napięcie wyjściowe: 5 V;</li>
<li>6. Wymiary: 23 x 30,6 x 87,3 mm;</li>
<li>7. Waga: 77,89 g;</li>
<li>8. Szybkie ładowanie: Quick Charge 3.0;</li>
<li>9. Kolor: czarny.</li>
</ul> </div>";Ładowarka samochodowa Samsung EP-LN915U z Quick Charge 3.0 i kablem microUSB 2A - czarna ;ładowarka-samochodowa-samsung-ep-ln915u-z-quick-charge-3.0-i-kablem-microusb-2a---czarna-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/j/p/1_5.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/j/p/3_5.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/j/p/2_5.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/j/p/4_2_1.jpg;1;new;0;Chwilowo niedostępny;1
262944;1;Ładowarka samochodowa Samsung EP-LN920 z AFC i kablem microUSB 2A - biała ;Ładowarki;79.90;1;79.90;0;;;;;Samsung;Samsung;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<p></p><h2 style=""font-size: x-large;"">Oryginalna ładowarka samochodowa Samsung</h2>
<p style=""font-size: large;"">Praktyczna i niezawodna</p>
<p style=""text-align: justify;"">Uniwersalna ładowarka samochodowa marki Samsung służy do szybkiego ładowania różnych urządzeń mobilnych, jak smartfon czy tablet. Zasilacz EP-LN920 ma dwa wejścia o natężeniu 2A oraz wsparcie funkcji Adaptive Fast Charging. Dodatkowo do zestawu jest dołączony oryginalny kabel Samsung ECB-DU4EWE 2A. Akcesorium zapewnia wydajne oraz bezpieczne ładowanie zgodnych urządzeń i jest rekomendowane do sprzętu marki Samsung. Zaprojektowany układ produktu posiada zabezpieczenia przed przegrzaniem czy skokami napięcia, które mogłyby uszkodzić podłączone urządzenie. Atesty bezpieczeństwa ładowarki potwierdzają odpowiednie certyfikaty i znaki jakości. Ponadto, ładowarka samochodowa jest skonstruowana z wysokiej jakości materiałów odpornych na typowe uszkodzenia podczas korzystania z produktu. Zasilacz wyposażony został w dwa gniazda USB, które mogą jednocześnie ładować dwa smartfony przy pomocy szybkiego zasilania AFC. W przypadku braku wsparcia funkcji w telefonie, będzie on ładowany natężeniem 2A. Do zestawu dołączony jest przewód o długości około 100 centymetrów, który ma zakończenie microUSB.</p>
<p style=""font-size: x-large;"">Gwarancja zadowolenia</p>
<p style=""font-size: large;"">Wydajne ładowanie urządzeń Samsung</p>
<p style=""text-align: justify;"">Ładowarka samochodowa Samsung EP-LN920 z kablem ECB-DU4EWE microUSB to funkcjonalne akcesorium, które będzie przydatne w każdym samochodzie. Zasilacz jest niewielkich wymiarów, więc nie zajmuje wiele miejsca w samochodzie. Ponadto długi kabel z grubą otoczką jest wytrzymały i umożliwia umieszczenie ładowanego urządzenia w wygodnym miejscu, np. w uchwycie na kokpicie auta. Wielką zaletą ładowarki jest jej prosta obsługa, a także wsparcie funkcji szybkiego ładowania Adaptive Fast Charging. Samochodowa ładowarka Samsung dostępna jest w naszym sklepie w kolorze białym. Produkt jest oryginalny i zapakowany w sztywny kartonik producenta. Zasilacz z kablem jest przeznaczony do użytkowania ze zgodnymi urządzeniami marki Samsung.</p>
<p style=""text-align: justify;"">Specyfikacja:</p>
<ul>
<li>1. Gniazdo zasilacza: 2 x USB;</li>
<li>2. Złącze kabla: microUSB;</li>
<li>3. Napięcie wejściowe: 12V - 24V;</li>
<li>4. Prąd wyjściowy max: 15W (9V 1,67A) na pojedynczy port;</li>
<li>5. Wymiary: 87 x 34 x 34 mm;</li>
<li>6. Szybkie ładowanie: Adaptive Fast Charging;</li> </ul></div>";Ładowarka samochodowa Samsung EP-LN920 z AFC i kablem microUSB 2A - biała ;ładowarka-samochodowa-samsung-ep-ln920-z-afc-i-kablem-microusb-2a---biała-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/M/LASM000EP92WHT000_p01.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/M/LASM000EP92WHT000_p02.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/M/LASM000EP92WHT000_p03.jpg;1;new;0;Chwilowo niedostępny;1
461508;1;Ładowarka indukcyjna Samsung Wireless Charger Stand EP-N5105TBEGWW z QI i wentylatorem ;Ładowarki;199.90;1;199.90;0;;;;;Samsung;Samsung;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<h2 style=""font-size: x-large;"">Ładowarka z wentylatorem Samsung Wireless Charger Stand</h2><p style=""text-align: justify;"">Ładowarka Samsung Wireless Charger Stand w wariancie EP-N5105TBEGWW pozwala na bezprzewodowe odnawianie energii w Twoim smartfonie. W zależności od konkretnego modelu telefonu ładowarka ładuje z mocą od 5 do 7 W. Z ładowarki mogą korzystać posiadacze telefonów Samsung kompatybilnych z ładowaniem Qi, a także niektórych iPhone’ów obsługujących standard bezprzewodowego ładowania. Wystarczy umieścić smartfon na podkładce ładującej, bez podłączania zbędnych przewodów. Ładowarka zawiera wbudowany wentylator zapobiegający przegrzewaniu się urządzenia podczas ładowania. Posiada również port wejściowy USB typu C, dzięki któremu możemy podłączyć ją na przykład do laptopa, z którego będzie pobierać energię. Przewód zasilający jest jednak sprzedawany oddzielnie. Akcesorium wyposażono w funkcję automatycznego dostosowywania mocy do smartfonów zgodnych z technologią Fast Charge. Ładowarka zachwyca swoją prostą, nowoczesną konstrukcją. Wrażenie robi zarówno okrągła platforma ładująca, jak i czarna obudowa o matowym wykończeniu. Dzięki temu gadżet może profesjonalnie prezentować się na przykład na stanowisku pracy. </p> </div>";Ładowarka indukcyjna Samsung Wireless Charger Stand EP-N5105TBEGWW z QI i wentylatorem ;ładowarka-indukcyjna-samsung-wireless-charger-stand-ep-n5105tbegww-z-qi-i-wentylatorem-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/M/LISM000N510BLK000_p01.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/M/LISM000N510BLK000_p02.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/M/LISM000N510BLK000_p03.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/M/LISM000N510BLK000_p04.jpg;1;new;0;Chwilowo niedostępny;1
428276;1;Ładowarka Samsung ETA0U81EBE 1A z odpinanym kablem microUSB - czarna ;Ładowarki;34.90;1;34.90;0;;;;;Samsung;Samsung;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<h2 style=""font-size: x-large;"">Oryginalna ładowarka Samsung</h2> <p style=""font-size: large;"">Praktyczne akcesorium</p> <p style=""text-align: justify;"">Ładowarka Samsung ETA0U81EBE to oryginalne akcesorium przystosowane do zasilania urządzeń mobilnych z serii Galaxy. Zasilacz o mocy 1A posiada odczepiany kabel z końcówką microUSB. Akcesorium jest kompatybilne z różnymi modelami urządzeń i posiada specjalne zabezpieczenia przed skokami napięcia czy przegrzaniem. Ładowarka sieciowa została wykonana z wysokiej jakości materiałów, a jej wymiary są niewielkie, dzięki czemu można ją bez problemu zabrać w podróż. Akcesorium może służyć jako główny zasilacz, bądź zapasowy. Model ETA0U81EBE posiada wejście USB, do którego można podpinać inne, kompatybilne kable. Produkt jest oryginalny i dostępny w kolorze czarnym</p> </div>";Ładowarka Samsung ETA0U81EBE 1A z odpinanym kablem microUSB - czarna ;ładowarka-samsung-eta0u81ebe-1a-z-odpinanym-kablem-microusb---czarna-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00081EBBLK000_p01.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00081EBBLK000_p02.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00081EBBLK000_p03.jpg;1;new;0;Chwilowo niedostępny;1
428277;1;Ładowarka Samsung EP-TA12EWE 2A z odpinanym kablem microUSB - biała ;Ładowarki;49.90;1;49.90;0;;;;;Samsung;Samsung;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<h2 style=""font-size: x-large;"">Oryginalna ładowarka Samsung</h2> <p style=""font-size: large;"">Praktyczne akcesorium</p> <p style=""text-align: justify;"">Ładowarka EP-TA12EWE + kabel ECB-DU4AWE to praktyczne akcesorium renomowanej firmy Samsung. Produkt został wyprodukowany z wysokiej jakości materiałów i posiada zabezpieczenia przed przegrzaniem oraz skokami napięcia. Zasilacz z odpinanym kablem microUSB jest kompatybilna z różnymi urządzeniami mobilnymi z linii Galaxy, które są wyposażone w złącze microUSB. Zasilacz posiada wejście USB, do którego można podpinać inne, zgodne przewody o różnych końcówkach. Sieciowa ładowarka ma kompaktowe wymiary i jest dostępna w kolorze białym. Akcesorium o mocy 2A jest oryginalne i może służyć jako główny zasilacz lub zamiennik. </p> </div>";Ładowarka Samsung EP-TA12EWE 2A z odpinanym kablem microUSB - biała ;ładowarka-samsung-ep-ta12ewe-2a-z-odpinanym-kablem-microusb---biała-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00012EWWHT000_p01.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00012EWWHT000_p02.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00012EWWHT000_p03.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/S/A/LASA00012EWWHT000_p04.jpg;1;new;0;Chwilowo niedostępny;1
236135;1;Ładowarka sieciowa Apple A1400 1A z gniazdem USB ;Ładowarki;59.90;1;59.90;0;;;;;Apple;Apple;100;1;10;0;both;;"<div class=""content-cms"" itemprop=""description"">
<p></p><h2 style=""font-size: x-large;"">Ładowarka sieciowa Apple</h2>
<p style=""font-size: large;"">Praktyczna i niezawodna</p>
<p style=""text-align: justify;"">Ładowarka sieciowa Apple A1400 to oryginalne akcesorium amerykańskiego przedsiębiorstwa słynącego z wysokiej jakości sprzętu elektronicznego. Produkt został wykonany z wytrzymałych materiałów, a jego konstrukcja jest solidna. Zasilacz ma niewielkie gabaryty i można zmieścić go zarówno w plecaku, torebce, jak i kieszeni spodni. Niewielkie wymiary oraz atrakcyjny design to nie jedyne zalety akcesorium. Przede wszystkim jest ono bardzo funkcjonalne i kompatybilne ze wszystkimi generacjami telefonów Apple iPhone, a także iPadami oraz iPodami. Oryginalna ładowarka do urządzeń Apple przyda się zarówno w domu, jak i na wyjazdach czy w biurze. Produkt o mocy 1A wyposażone zostało w uniwersalne gniazdo USB 1000mA, więc można podłączyć do niego przewody różnych z odmiennymi zakończeniami pasującymi do różnych marek smartfonów. Dzięki temu, wybierając się na wakacje, nie trzeba wozić ze sobą kilku zasilaczy jednocześnie, gdyż wystarczy Apple A1400. Akcesorium nadaje się jako główna ładowarka do urządzeń mobilnych, ale także jako zapasowa.</p>
<p style=""font-size: x-large;"">Gwarancja zadowolenia</p>
<p style=""font-size: large;"">Wydajne ładowanie</p>
<p style=""text-align: justify;"">Sieciowy zasilacz Apple A1400 w kolorze białym jest oryginalnym produktem Apple Inc. i zapewnia wydajne ładowanie urządzeń mobilnych. Akcesorium ma wbudowane dwa stałe bolce, które są zgodne ze standardami unijnymi. Ładowarka posiada wszelkie niezbędne certyfikaty bezpieczeństwa. Specjalnie zaprojektowany układ zabezpiecza przed przegrzaniem oraz skokami napięcia, co mogłoby uszkodzić ładowarkę lub ładowane urządzenie Apple. Model A1400 zaprojektowany jest z bardzo dobrej jakości materiałów, które są odporne na wiele różnych uszkodzeń mechanicznych, więc produkt będzie służył przez bardzo długi czas. Zasilacz USB o mocy 5W przystosowany jest do zasilania wszystkich generacji iPhone, iPad i iPod, ale podłączając przewód USB z innym zakończeniem, można wykorzystać produkt do ładowania smartfonów innych marek. Produkt z oferty nie posiada dołączonego przewodu i jest zapakowany w formie bluk - oryginalne opakowanie foliowe.<br/>Specyfikacja:<br/>- Gniazdo: USB 1000mA;<br/>- Maksymalne natężenie prądu: 1A;<br/>- Napięcie wyjściowe: 5V;<br/>- Kolor: biały;<br/>- Opakowanie: bulk.</p> </div>";Ładowarka sieciowa Apple A1400 1A z gniazdem USB ;ładowarka-sieciowa-apple-a1400-1a-z-gniazdem-usb-;Dostępny w magazynie.;Możliwy do zamówienia.;1;https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/a/p/laap000a140wht000_p01_.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/a/p/laap000a140wht000_p02_.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/a/p/laap000a140wht000_p03_.jpg,https://media.etuo.pl/catalog/product/cache/1/thumbnail/800x600/9df78eab33525d08d6e5fb8d27136e95/a/p/laap000a140wht000_p04_.jpg;1;new;0;Chwilowo niedostępny;1
